时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 22:56:48.976,0.3,0.6,0.3,0.7,2139.0,1990.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:56:49.976,0.3,0.6,0.3,0.7,2107.0,1896.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:02.997,0.3,0.6,0.3,0.6,2137.0,1988.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:03.997,0.3,0.7,0.3,0.8,2137.0,1968.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:04.997,0.3,0.7,0.3,0.7,2042.0,1904.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:05.996,0.3,0.7,0.3,0.7,2106.0,1987.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:07.997,0.3,0.7,0.3,0.8,2072.0,1946.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:08.996,0.3,0.7,0.3,0.7,2101.0,1965.0, -259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:11.997,0.3,0.7,0.3,0.7,2089.0,1966.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:12.998,0.3,0.7,0.3,0.7,2087.0,1883.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:13.998,0.3,0.6,0.3,0.7,2042.0,1914.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:14.997,0.3,0.6,0.3,0.7,2023.0,1949.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:03:15.997,0.3,0.6,0.3,0.6,2072.0,1926.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:35.027,0.3,0.7,0.3,0.7,2080.0,2006.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:36.028,0.3,0.6,0.3,0.7,2100.0,1947.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:37.028,0.3,0.6,0.3,0.7,2070.0,1967.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:38.027,0.3,0.6,0.3,0.7,2045.0,1918.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:39.028,0.3,0.6,0.3,0.7,2209.0,1993.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:43.028,0.3,0.6,0.3,0.7,2062.0,1919.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:44.028,0.3,0.7,0.3,0.7,2072.0,1966.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:13:45.027,0.3,0.6,0.3,0.6,2037.0,1969.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:16.040,0.3,0.6,0.3,0.6,2088.0,1929.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:17.040,0.3,0.7,0.3,0.7,2116.0,1941.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
